Gene	Gene name	nTPM
ENSG00000007174	DNAH9	0.0
ENSG00000007202	BLTP2	2.9
ENSG00000007216	SLC13A2	0.0
ENSG00000007237	GAS7	26.3
ENSG00000007255	TRAPPC6A	113.9
ENSG00000007264	MATK	77.1
ENSG00000007306	CEACAM7	0.1
ENSG00000007312	CD79B	1488.8
ENSG00000007314	SCN4A	0.2
ENSG00000007341	ST7L	3.8
ENSG00000007350	TKTL1	61.0
ENSG00000007372	PAX6	0.1
ENSG00000007376	RPUSD1	17.1
ENSG00000007384	RHBDF1	0.1
ENSG00000007392	LUC7L	13.4
ENSG00000007402	CACNA2D2	1.2
ENSG00000007516	BAIAP3	1.6
ENSG00000007520	TSR3	13.8
ENSG00000007541	PIGQ	5.6
ENSG00000007545	CRAMP1	0.4
ENSG00000007866	TEAD3	0.0
ENSG00000007908	SELE	0.0
ENSG00000007923	DNAJC11	14.3
ENSG00000007933	FMO3	0.0
ENSG00000007944	MYLIP	9.4
ENSG00000007952	NOX1	0.1
ENSG00000007968	E2F2	4.1
ENSG00000008018	PSMB1	652.7
ENSG00000008056	SYN1	0.0
ENSG00000008083	JARID2	13.2
ENSG00000008086	CDKL5	5.7
ENSG00000008118	CAMK1G	0.0
ENSG00000008128	CDK11A	85.8
ENSG00000008130	NADK	507.6
ENSG00000008196	TFAP2B	0.0
ENSG00000008197	TFAP2D	0.0
ENSG00000008226	DLEC1	0.1
ENSG00000008256	CYTH3	2.5
ENSG00000008277	ADAM22	0.5
ENSG00000008282	SYPL1	132.0
ENSG00000008283	CYB561	24.6
ENSG00000008294	SPAG9	12.3
ENSG00000008300	CELSR3	0.2
ENSG00000008311	AASS	0.1
ENSG00000008323	PLEKHG6	1.1
ENSG00000008324	SS18L2	139.6
ENSG00000008382	MPND	9.3
ENSG00000008394	MGST1	171.3
ENSG00000008405	CRY1	16.1
ENSG00000008438	PGLYRP1	497.3
ENSG00000008441	NFIX	0.5
ENSG00000008513	ST3GAL1	47.8
ENSG00000008516	MMP25	20.3
ENSG00000008517	IL32	4640.3
ENSG00000008710	PKD1	0.0
ENSG00000008735	MAPK8IP2	0.0
ENSG00000008838	MED24	6.8
ENSG00000008853	RHOBTB2	3.3
ENSG00000008869	HEATR5B	17.8
ENSG00000008952	SEC62	82.2
ENSG00000008988	RPS20	8790.8
ENSG00000009307	CSDE1	381.2
ENSG00000009335	UBE3C	3.0
ENSG00000009413	REV3L	1.7
ENSG00000009694	TENM1	0.5
ENSG00000009709	PAX7	0.0
ENSG00000009724	MASP2	0.0
ENSG00000009765	IYD	2.0
ENSG00000009780	FAM76A	11.3
ENSG00000009790	TRAF3IP3	588.8
ENSG00000009830	POMT2	0.1
ENSG00000009844	VTA1	222.8
ENSG00000009950	MLXIPL	0.0
ENSG00000009954	BAZ1B	4.1
ENSG00000010017	RANBP9	3.6
ENSG00000010030	ETV7	18.9
ENSG00000010072	SPRTN	9.8
ENSG00000010165	METTL13	10.5
ENSG00000010219	DYRK4	4.5
ENSG00000010244	ZNF207	110.4
ENSG00000010256	UQCRC1	987.1
ENSG00000010270	STARD3NL	71.4
ENSG00000010278	CD9	1961.8
ENSG00000010282	HHATL	0.0
ENSG00000010292	NCAPD2	10.9
ENSG00000010295	IFFO1	6.7
ENSG00000010310	GIPR	1.2
ENSG00000010318	PHF7	3.4
ENSG00000010319	SEMA3G	1.4
ENSG00000010322	NISCH	5.2
ENSG00000010327	STAB1	9.5
ENSG00000010361	FUZ	17.7
ENSG00000010379	SLC6A13	0.0
ENSG00000010404	IDS	262.0
ENSG00000010438	PRSS3	159.5
ENSG00000010539	ZNF200	32.4
ENSG00000010610	CD4	264.3
ENSG00000010626	LRRC23	6.4
ENSG00000010671	BTK	515.1
ENSG00000010704	HFE	10.7
ENSG00000010803	SCMH1	3.9
ENSG00000010810	FYN	174.7
ENSG00000010818	HIVEP2	2.6
ENSG00000010932	FMO1	0.7
ENSG00000011007	ELOA	19.6
ENSG00000011009	LYPLA2	125.3
ENSG00000011021	CLCN6	1.6
ENSG00000011028	MRC2	0.1
ENSG00000011052	NME1-NME2	45.8
ENSG00000011083	SLC6A7	0.0
ENSG00000011105	TSPAN9	1.2
ENSG00000011114	BTBD7	1.4
ENSG00000011132	APBA3	19.9
ENSG00000011143	MKS1	16.0
ENSG00000011198	ABHD5	68.2
ENSG00000011201	ANOS1	0.0
ENSG00000011243	AKAP8L	3.5
ENSG00000011258	MBTD1	2.6
ENSG00000011260	UTP18	56.9
ENSG00000011275	RNF216	24.3
ENSG00000011295	TTC19	5.2
ENSG00000011304	PTBP1	38.7
ENSG00000011332	DPF1	0.0
ENSG00000011347	SYT7	0.0
ENSG00000011376	LARS2	2.0
ENSG00000011405	PIK3C2A	3.3
ENSG00000011422	PLAUR	1177.3
ENSG00000011426	ANLN	0.3
ENSG00000011451	WIZ	1.0
ENSG00000011454	RABGAP1	3.4
ENSG00000011465	DCN	24.5
ENSG00000011478	QPCTL	1.4
ENSG00000011485	PPP5C	27.8
ENSG00000011523	CEP68	9.0
ENSG00000011566	MAP4K3	0.7
ENSG00000011590	ZBTB32	10.5
ENSG00000011600	TYROBP	6461.2
ENSG00000011638	LDAF1	19.5
ENSG00000011677	GABRA3	0.0
ENSG00000012048	BRCA1	17.3
ENSG00000012061	ERCC1	316.7
ENSG00000012124	CD22	120.7
ENSG00000012171	SEMA3B	0.8
ENSG00000012174	MBTPS2	3.6
ENSG00000012211	PRICKLE3	12.2
ENSG00000012223	LTF	29.5
ENSG00000012232	EXTL3	6.6
ENSG00000012504	NR1H4	0.1
ENSG00000012660	ELOVL5	262.4
ENSG00000012779	ALOX5	463.0
ENSG00000012817	KDM5D	3.2
ENSG00000012822	CALCOCO1	85.6
ENSG00000012963	UBR7	34.6
ENSG00000012983	MAP4K5	18.9
ENSG00000013016	EHD3	20.9
ENSG00000013275	PSMC4	90.1
ENSG00000013288	MAN2B2	17.6
ENSG00000013293	SLC7A14	0.2
ENSG00000013297	CLDN11	0.0
ENSG00000013306	SLC25A39	140.1
ENSG00000013364	MVP	214.3
ENSG00000013374	NUB1	37.8
ENSG00000013375	PGM3	4.9
ENSG00000013392	RWDD2A	3.5
ENSG00000013441	CLK1	28.8
ENSG00000013503	POLR3B	5.6
ENSG00000013523	ANGEL1	7.5
ENSG00000013561	RNF14	80.0
ENSG00000013563	DNASE1L1	21.7
ENSG00000013573	DDX11	4.4
ENSG00000013583	HEBP1	70.2
ENSG00000013588	GPRC5A	3.6
ENSG00000013619	MAMLD1	0.7
ENSG00000013725	CD6	51.5
ENSG00000013810	TACC3	91.1
ENSG00000014123	UFL1	13.2
ENSG00000014138	POLA2	10.8
ENSG00000014164	ZC3H3	9.1
ENSG00000014216	CAPN1	88.0
ENSG00000014257	ACP3	139.9
ENSG00000014641	MDH1	321.8
ENSG00000014824	SLC30A9	3.0
ENSG00000014914	MTMR11	1.7
ENSG00000014919	COX15	19.5
ENSG00000015133	CCDC88C	10.6
ENSG00000015153	YAF2	57.5
ENSG00000015171	ZMYND11	18.8
ENSG00000015285	WAS	45.5
ENSG00000015413	DPEP1	0.0
ENSG00000015475	BID	990.5
ENSG00000015479	MATR3	188.0
ENSG00000015520	NPC1L1	0.0
ENSG00000015532	XYLT2	3.7
ENSG00000015568	RGPD5	4.8
ENSG00000015592	STMN4	0.0
ENSG00000015676	NUDCD3	1.1
ENSG00000016082	ISL1	0.0
ENSG00000016391	CHDH	3.0
ENSG00000016402	IL20RA	0.1
ENSG00000016490	CLCA1	0.0
ENSG00000016602	CLCA4	0.0
ENSG00000016864	GLT8D1	38.5
ENSG00000017260	ATP2C1	30.7
ENSG00000017427	IGF1	2.4
ENSG00000017483	SLC38A5	24.3
ENSG00000017797	RALBP1	196.5
ENSG00000018189	RUFY3	6.6
ENSG00000018236	CNTN1	2.5
ENSG00000018280	SLC11A1	6.1
ENSG00000018408	WWTR1	0.8
ENSG00000018510	AGPS	5.8
ENSG00000018610	STEEP1	15.7
ENSG00000018625	ATP1A2	0.2
ENSG00000018699	TTC27	12.7
ENSG00000018869	ZNF582	5.9
ENSG00000019102	VSIG2	1.2
ENSG00000019144	PHLDB1	0.3
ENSG00000019169	MARCO	56.6
ENSG00000019186	CYP24A1	0.2
ENSG00000019485	PRDM11	0.2
ENSG00000019505	SYT13	0.0
ENSG00000019549	SNAI2	0.1
ENSG00000019582	CD74	28192.5
ENSG00000019991	HGF	94.6
ENSG00000019995	ZRANB1	2.7
ENSG00000020129	NCDN	3.8
ENSG00000020181	ADGRA2	0.1
ENSG00000020256	ZFP64	8.0
ENSG00000020426	MNAT1	46.6
ENSG00000020577	SAMD4A	1.2
ENSG00000020633	RUNX3	25.3
ENSG00000020922	MRE11	11.6
ENSG00000021300	PLEKHB1	84.0
ENSG00000021355	SERPINB1	206.9
ENSG00000021461	CYP3A43	0.2
ENSG00000021488	SLC7A9	0.0
ENSG00000021574	SPAST	5.6
ENSG00000021645	NRXN3	0.4
ENSG00000021762	OSBPL5	11.6
ENSG00000021776	AQR	3.6
ENSG00000021826	CPS1	0.0
ENSG00000021852	C8B	2.3
ENSG00000022267	FHL1	36.3
ENSG00000022277	RTF2	583.1
ENSG00000022355	GABRA1	0.0
ENSG00000022556	NLRP2	3.0
ENSG00000022567	SLC45A4	8.3
ENSG00000022840	RNF10	174.3
ENSG00000022976	ZNF839	1.0
ENSG00000023041	ZDHHC6	21.0
ENSG00000023171	GRAMD1B	6.8
ENSG00000023191	RNH1	300.5
ENSG00000023228	NDUFS1	22.6
ENSG00000023287	RB1CC1	48.1
ENSG00000023318	ERP44	42.8
ENSG00000023330	ALAS1	234.4
ENSG00000023445	BIRC3	210.0
ENSG00000023516	AKAP11	1.7
ENSG00000023572	GLRX2	30.2
ENSG00000023608	SNAPC1	8.8
ENSG00000023697	DERA	76.8
ENSG00000023734	STRAP	92.5
ENSG00000023839	ABCC2	0.0
ENSG00000023892	DEF6	110.8
ENSG00000023902	PLEKHO1	31.0
ENSG00000023909	GCLM	3.3
ENSG00000024048	UBR2	36.7
ENSG00000024422	EHD2	0.3
ENSG00000024526	DEPDC1	0.5
ENSG00000024862	CCDC28A	250.5
ENSG00000025039	RRAGD	3.3
ENSG00000025156	HSF2	28.0
ENSG00000025293	PHF20	33.2
ENSG00000025423	HSD17B6	1.2
ENSG00000025434	NR1H3	13.3
ENSG00000025708	TYMP	137.0
ENSG00000025770	NCAPH2	23.0
ENSG00000025772	TOMM34	39.7
ENSG00000025796	SEC63	9.9
ENSG00000025800	KPNA6	9.9
ENSG00000026025	VIM	867.4
ENSG00000026103	FAS	101.1
ENSG00000026297	RNASET2	653.9
ENSG00000026508	CD44	437.5
ENSG00000026559	KCNG1	7.1
ENSG00000026652	AGPAT4	3.4
ENSG00000026751	SLAMF7	100.6
ENSG00000026950	BTN3A1	53.9
ENSG00000027001	MIPEP	12.1
ENSG00000027075	PRKCH	136.2
ENSG00000027644	INSRR	0.0
ENSG00000027697	IFNGR1	664.9
ENSG00000027847	B4GALT7	19.7
ENSG00000027869	SH2D2A	66.6
ENSG00000028116	VRK2	34.7
ENSG00000028137	TNFRSF1B	387.7
ENSG00000028203	VEZT	2.4
ENSG00000028277	POU2F2	95.1
ENSG00000028310	BRD9	7.1
ENSG00000028528	SNX1	162.6
ENSG00000028839	TBPL1	133.2
ENSG00000029153	BMAL2	1.3
ENSG00000029363	BCLAF1	58.1
ENSG00000029364	SLC39A9	11.4
ENSG00000029534	ANK1	9.5
ENSG00000029559	IBSP	0.0
ENSG00000029639	TFB1M	7.9
ENSG00000029725	RABEP1	97.7
ENSG00000029993	HMGB3	11.4
ENSG00000030066	NUP160	17.0
ENSG00000030110	BAK1	85.3
ENSG00000030304	MUSK	0.0
ENSG00000030419	IKZF2	5.9
ENSG00000030582	GRN	2059.0
ENSG00000031003	FAM13B	10.7
ENSG00000031081	ARHGAP31	6.0
ENSG00000031691	CENPQ	4.6
ENSG00000031698	SARS1	460.2
ENSG00000031823	RANBP3	32.2
ENSG00000032219	ARID4A	109.9
ENSG00000032389	EIPR1	30.3
ENSG00000032444	PNPLA6	37.7
ENSG00000032742	IFT88	7.4
ENSG00000033011	ALG1	94.4
ENSG00000033030	ZCCHC8	5.7
ENSG00000033050	ABCF2	19.6
ENSG00000033100	CHPF2	7.3
ENSG00000033122	LRRC7	0.3
ENSG00000033170	FUT8	15.6
ENSG00000033178	UBA6	6.5
ENSG00000033327	GAB2	20.2
ENSG00000033627	ATP6V0A1	20.1
ENSG00000033800	PIAS1	70.9
ENSG00000033867	SLC4A7	1.4
ENSG00000034053	APBA2	5.0
ENSG00000034152	MAP2K3	146.3
ENSG00000034239	CLXN	1.2
ENSG00000034510	TMSB10	49899.0
ENSG00000034533	ASTE1	51.5
ENSG00000034677	RNF19A	26.6
ENSG00000034693	PEX3	23.3
ENSG00000034713	GABARAPL2	505.4
ENSG00000034971	MYOC	0.0
ENSG00000035115	SH3YL1	38.8
ENSG00000035141	FAM136A	54.4
ENSG00000035403	VCL	36.3
ENSG00000035499	DEPDC1B	3.2
ENSG00000035664	DAPK2	138.6
ENSG00000035681	NSMAF	14.6
ENSG00000035687	ADSS2	48.4
ENSG00000035720	STAP1	108.3
ENSG00000035862	TIMP2	13.9
ENSG00000035928	RFC1	15.8
ENSG00000036054	TBC1D23	27.8
ENSG00000036257	CUL3	7.1
ENSG00000036448	MYOM2	0.2
ENSG00000036473	OTC	0.0
ENSG00000036530	CYP46A1	3.4
ENSG00000036549	ZZZ3	10.4
ENSG00000036565	SLC18A1	2.8
ENSG00000036672	USP2	0.1
ENSG00000036828	CASR	0.1
ENSG00000037042	TUBG2	4.5
ENSG00000037241	RPL26L1	99.7
ENSG00000037280	FLT4	3.8
ENSG00000037474	NSUN2	28.0
ENSG00000037637	FBXO42	18.5
ENSG00000037749	MFAP3	12.0
ENSG00000037757	MRI1	3.3
ENSG00000037897	METTL1	27.5
ENSG00000037965	HOXC8	0.0
ENSG00000038002	AGA	36.0
ENSG00000038210	PI4K2B	5.3
ENSG00000038219	BOD1L1	8.4
ENSG00000038274	MAT2B	707.3
ENSG00000038295	TLL1	0.0
ENSG00000038358	EDC4	11.2
ENSG00000038382	TRIO	1.4
ENSG00000038427	VCAN	240.0
ENSG00000038532	CLEC16A	2.9
ENSG00000038945	MSR1	16.8
ENSG00000039068	CDH1	4.7
ENSG00000039123	MTREX	8.0
ENSG00000039139	DNAH5	0.0
ENSG00000039319	ZFYVE16	21.4
ENSG00000039523	RIPOR1	15.9
ENSG00000039537	C6	0.0
ENSG00000039560	RAI14	0.9
ENSG00000039600	SOX30	0.5
ENSG00000039650	PNKP	23.9
ENSG00000039987	BEST2	0.6
ENSG00000040199	PHLPP2	0.8
ENSG00000040275	SPDL1	19.8
ENSG00000040341	STAU2	44.5
ENSG00000040487	SLC66A1	20.5
ENSG00000040531	CTNS	34.3
ENSG00000040608	RTN4R	10.8
ENSG00000040633	PHF23	23.1
ENSG00000040731	CDH10	0.0
ENSG00000040933	INPP4A	3.6
ENSG00000041353	RAB27B	2.6
ENSG00000041357	PSMA4	405.5
ENSG00000041515	MYO16	0.2
ENSG00000041802	LSG1	21.1
ENSG00000041880	PARP3	6.4
ENSG00000041982	TNC	0.2
ENSG00000041988	THAP3	31.2
ENSG00000042062	RIPOR3	0.3
ENSG00000042088	TDP1	32.3
ENSG00000042286	AIFM2	4.0
ENSG00000042317	SPATA7	2.5
ENSG00000042429	MED17	8.3
ENSG00000042445	RETSAT	8.8
ENSG00000042493	CAPG	1364.5
ENSG00000042753	AP2S1	718.0
ENSG00000042781	USH2A	0.0
ENSG00000042813	ZPBP	0.0
ENSG00000042832	TG	1.0
ENSG00000042980	ADAM28	87.4
ENSG00000043039	BARX2	0.0
ENSG00000043093	DCUN1D1	16.4
ENSG00000043143	JADE2	3.6
ENSG00000043355	ZIC2	0.0
ENSG00000043462	LCP2	76.7
ENSG00000043514	TRIT1	10.4
ENSG00000043591	ADRB1	0.3
ENSG00000044012	GUCA2B	0.2
ENSG00000044090	CUL7	2.0
ENSG00000044115	CTNNA1	47.1
ENSG00000044446	PHKA2	7.2
ENSG00000044459	CNTLN	3.9
ENSG00000044524	EPHA3	0.0
ENSG00000044574	HSPA5	757.5
ENSG00000046604	DSG2	8.7
ENSG00000046647	GEMIN8	22.2
ENSG00000046651	OFD1	69.8
ENSG00000046653	GPM6B	78.2
ENSG00000046774	MAGEC2	0.0
ENSG00000046889	PREX2	0.0
ENSG00000047056	WDR37	11.6
ENSG00000047188	YTHDC2	7.3
ENSG00000047230	CTPS2	2.8
ENSG00000047249	ATP6V1H	36.4
ENSG00000047315	POLR2B	51.8
ENSG00000047346	ATOSA	8.2
ENSG00000047365	ARAP2	6.6
ENSG00000047410	TPR	146.7
ENSG00000047457	CP	0.1
ENSG00000047578	KATNIP	14.3
ENSG00000047579	DTNBP1	49.5
ENSG00000047597	XK	10.2
ENSG00000047617	ANO2	1.3
ENSG00000047621	C12orf4	15.2
ENSG00000047634	SCML1	19.0
ENSG00000047644	WWC3	10.7
ENSG00000047648	ARHGAP6	0.5
ENSG00000047662	FAM184B	0.0
ENSG00000047849	MAP4	27.5
ENSG00000047932	GOPC	10.5
ENSG00000047936	ROS1	0.2
ENSG00000048028	USP28	28.2
ENSG00000048052	HDAC9	73.7
ENSG00000048140	TSPAN17	7.5
ENSG00000048162	NOP16	97.4
ENSG00000048342	CC2D2A	4.6
ENSG00000048392	RRM2B	23.2
ENSG00000048405	ZNF800	21.5
ENSG00000048462	TNFRSF17	125.4
ENSG00000048471	SNX29	22.3
ENSG00000048540	LMO3	0.0
ENSG00000048544	MRPS10	37.7
ENSG00000048545	GUCA1A	4.9
ENSG00000048649	RSF1	49.5
ENSG00000048707	VPS13D	3.2
ENSG00000048740	CELF2	115.5
ENSG00000048828	FAM120A	13.1
ENSG00000048991	R3HDM1	11.3
ENSG00000049089	COL9A2	3.2
ENSG00000049130	KITLG	0.0
ENSG00000049167	ERCC8	6.4
ENSG00000049192	ADAMTS6	2.1
ENSG00000049239	H6PD	2.4
ENSG00000049245	VAMP3	84.6
ENSG00000049246	PER3	1.7
ENSG00000049247	UTS2	45.4
ENSG00000049249	TNFRSF9	18.6
ENSG00000049283	EPN3	0.0
ENSG00000049323	LTBP1	5.3
ENSG00000049449	RCN1	16.3
ENSG00000049540	ELN	0.1
ENSG00000049541	RFC2	46.2
ENSG00000049618	ARID1B	9.3
ENSG00000049656	CLPTM1L	10.3
ENSG00000049759	NEDD4L	5.1
ENSG00000049768	FOXP3	52.0
ENSG00000049769	PPP1R3F	9.4
ENSG00000049860	HEXB	343.7
ENSG00000049883	PTCD2	3.2
ENSG00000050030	NEXMIF	0.0
ENSG00000050130	JKAMP	89.7
ENSG00000050165	DKK3	7.1
ENSG00000050327	ARHGEF5	1.8
ENSG00000050344	NFE2L3	0.6
ENSG00000050393	MCUR1	4.2
ENSG00000050405	LIMA1	15.4
ENSG00000050426	LETMD1	20.5
ENSG00000050438	SLC4A8	0.9
ENSG00000050555	LAMC3	0.6
ENSG00000050628	PTGER3	40.2
ENSG00000050730	TNIP3	6.2
ENSG00000050748	MAPK9	16.3
ENSG00000050767	COL23A1	0.0
ENSG00000050820	BCAR1	0.0
ENSG00000051009	FHIP1B	3.4
ENSG00000051108	HERPUD1	916.7
ENSG00000051128	HOMER3	15.1
ENSG00000051180	RAD51	5.9
ENSG00000051341	POLQ	0.1
ENSG00000051382	PIK3CB	6.9
ENSG00000051523	CYBA	756.9
ENSG00000051596	THOC3	199.1
ENSG00000051620	HEBP2	14.7
ENSG00000051825	MPHOSPH9	12.1
ENSG00000052126	PLEKHA5	10.9
ENSG00000052344	PRSS8	0.0
ENSG00000052723	SIKE1	6.0
ENSG00000052749	RRP12	26.8
ENSG00000052795	FNIP2	7.2
ENSG00000052802	MSMO1	40.6
ENSG00000052841	TTC17	21.6
ENSG00000052850	ALX4	0.0
ENSG00000053108	FSTL4	1.3
ENSG00000053254	FOXN3	48.9
ENSG00000053328	METTL24	2.4
ENSG00000053371	AKR7A2	113.6
ENSG00000053372	MRTO4	23.3
ENSG00000053438	NNAT	0.0
ENSG00000053501	USE1	139.9
ENSG00000053524	MCF2L2	1.4
ENSG00000053702	NRIP2	3.7
ENSG00000053747	LAMA3	0.1
ENSG00000053770	AP5M1	36.5
ENSG00000053900	ANAPC4	14.9
ENSG00000053918	KCNQ1	3.8
ENSG00000054116	TRAPPC3	162.8
ENSG00000054118	THRAP3	86.1
ENSG00000054148	PHPT1	426.6
ENSG00000054179	ENTPD2	0.5
ENSG00000054219	LY75	5.2
ENSG00000054267	ARID4B	72.9
ENSG00000054277	OPN3	10.0
ENSG00000054282	SDCCAG8	9.0
ENSG00000054356	PTPRN	0.6
ENSG00000054392	HHAT	3.7
ENSG00000054523	KIF1B	8.0
ENSG00000054598	FOXC1	0.1
ENSG00000054611	TBC1D22A	18.7
ENSG00000054654	SYNE2	73.9
ENSG00000054690	PLEKHH1	0.0
ENSG00000054793	ATP9A	4.4
ENSG00000054796	SPO11	0.0
ENSG00000054803	CBLN4	0.0
ENSG00000054938	CHRDL2	0.1
ENSG00000054965	FAM168A	6.0
ENSG00000054967	RELT	35.4
ENSG00000054983	GALC	34.3
ENSG00000055044	NOP58	59.1
ENSG00000055070	SZRD1	78.5
ENSG00000055118	KCNH2	0.1
ENSG00000055130	CUL1	28.0
ENSG00000055147	FAM114A2	38.1
